AUTHOR,TITLE,WORDS#,the,and,of,that,to,unto,in,it,for,be,which,a,not,came,pass,behold,all,this,now,with,yea,should,by,as,upon,but,also,from,there,because,these,therefore,when,if,even,into,would,forth
MCDONALD,sermons-mcdonald-p3,9050,63,22,30,38,3,17,1,15,24,18,3,18,6,13,13,8,1,13,8,2,14,4,4,13,3,5,7,4,1,0,4,1,6,5,2,4,18,0,3,0,3,0,1,0,0,0,0,5,4,5,4
MCDONALD,Phantastes_chap1,1920,61,36,25,39,12,16,13,10,12,5,4,4,15,2,2,7,3,2,14,8,1,2,3,1,2,1,0,13,4,4,11,4,2,3,1,1,4,1,5,0,0,0,13,0,0,0,0,8,3,0,0
MCDONALD,Phantastes_chap4,3656,60,32,16,38,6,18,12,13,13,5,4,10,10,2,11,11,0,5,10,11,5,3,1,3,6,1,2,12,5,4,7,4,8,5,2,4,10,1,4,0,1,0,12,0,0,0,0,5,4,1,1
MCDONALD,Princess_Goblin_chap1_2,1671,53,35,20,33,4,21,1,13,11,1,2,8,9,0,8,10,0,2,8,0,2,2,5,0,4,4,0,22,5,19,17,8,4,15,7,8,8,2,4,0,0,0,1,0,0,2,2,4,5,4,0
MCDONALD,Princess_Goblin_chap3,1749,58,30,18,19,32,12,8,18,15,5,4,7,9,0,6,13,8,6,3,5,0,6,5,0,1,6,8,14,5,24,3,1,2,1,2,2,7,3,4,0,2,0,8,0,0,4,0,1,2,0,4
MCDONALD,Princess_Goblin_chap10_11,3969,64,36,23,20,17,14,4,18,8,2,3,9,9,5,8,8,1,4,5,6,5,5,5,2,1,4,4,17,7,22,7,3,2,3,0,2,9,1,5,0,1,0,4,0,0,2,0,4,2,6,1
MCDONALD,PrincessGoblin,52573,64,32,25,24,15,14,3,17,11,3,2,7,8,7,8,9,2,5,8,3,12,4,4,4,3,4,3,13,5,15,9,3,3,8,3,4,7,2,5,0,0,0,3,0,0,2,0,3,3,3,2
HAMILTON,Federalist-1,1591,84,25,45,66,4,16,5,12,17,8,8,8,3,0,8,1,6,21,6,0,0,0,1,0,3,6,15,0,5,0,0,0,6,3,8,1,8,0,5,0,4,0,5,0,0,0,3,11,8,1,7
HAMILTON,Federalist-6,1918,83,37,29,75,0,28,0,5,11,4,5,8,5,1,6,1,0,9,9,0,2,1,2,1,9,13,3,4,1,1,2,2,7,6,6,1,8,0,2,0,0,0,0,0,0,0,2,10,5,3,9
HAMILTON,Federalist-7,2283,92,22,35,69,0,18,0,7,11,6,9,6,5,0,6,1,0,20,8,0,0,1,1,0,4,10,0,3,6,1,3,3,5,3,7,5,6,0,5,0,0,0,0,0,0,0,0,10,12,22,3
JAY,Federalist-2,1655,65,50,32,50,0,20,1,22,26,9,8,6,7,0,8,4,0,9,9,0,0,1,3,0,6,10,1,4,4,0,2,4,3,13,12,2,6,1,2,0,0,0,1,0,0,0,13,6,6,3,3
JAY,Federalist-3,1453,66,41,38,42,0,17,0,14,13,4,4,8,6,1,8,4,0,21,16,1,1,0,2,0,22,4,16,0,4,0,0,0,11,3,7,5,8,0,2,0,0,0,0,0,0,0,5,7,12,1,5
JAY,Federalist-4,1649,53,55,30,43,0,14,0,16,10,6,0,8,7,1,7,6,0,15,12,0,0,4,3,0,14,5,9,0,6,0,1,0,5,10,11,7,8,0,2,0,3,0,0,0,0,0,4,6,8,10,6
DOSTOEVSKY,Dostoevsky_honest_thief,6396,32,33,31,15,22,14,9,21,9,4,1,7,5,10,12,7,3,5,7,11,27,8,4,14,2,7,1,18,7,1,7,3,3,3,0,2,7,1,6,0,0,0,9,0,0,2,0,0,2,5,3
DOSTOEVSKY,Dostoevsky_Novel_in_9_letters_Ivan,2555,32,36,47,36,41,26,12,5,19,4,5,9,6,1,13,4,20,5,3,21,4,5,1,1,0,12,1,7,4,1,3,2,6,1,2,1,9,1,5,0,0,0,12,0,0,0,1,7,6,0,4
